belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,return
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",142757,ru,Valentin and Valentina love each other and want to marry. But their mothers are strongly against this marriage. So strong is their hate that they can use any possible means.,1.54159,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1985-12-12,0,93.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Valentin and Valentina,4.3,3,1985,0.0
,0,"[{'id': 35, 'name': 'Comedy'}]",131958,en,"\"Pasha is a very shy and quiet person. He is almost 40 but is not married yet and cannot even find courage to ask a woman for a date. His best friend Gena on the contrary is a womanizer. His favorite pick up scheme is to ask a woman on the street \"\"Where's the nearest nofelet?\"\" He promised Pasha's parents to find a girlfriend for him but among dozens of women he successfully picks up not a single one is a perfect match for Pasha.\"",0.011064,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1987-06-06,0,82.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Where Is Enohp Located?,4.0,2,1987,0.0
,0,"[{'id': 35, 'name': 'Comedy'}]",46588,ru,"\"Photo studio \"\"Contemporary\"\" in a provincial town lives with its everyday problems. The director is concerned over the failure to fulfill the planned targets",receptionist Alevtina wants to get married,0.171137,/rRvXyRRGdfT62CZCE3nmldP3YBP.jpg,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1968-01-01,0,88.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Zigzag of Success,False,,0.0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",63300,ru,"\"The children's doctor is sent on leave to the south where its services in quality \"\"husband\"\" were necessary for young and very beautiful woman.\"",0.077739,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1981-06-06,0,87.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Be My Husband,4.5,2,1981,0.0
,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",83459,ru,Sory of 38-years-old Rita whose fiance didn't show up at their wedding.,0.853395,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1982-03-08,0,79.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Mechanic Gavrilov's Beloved Woman,5.0,4,1982,0.0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",83435,ru,A little girl is lost in Moscow and hits the road making fun (not intentionally) of everybody she meets. She'll be back home soon but she will change the life of at least one man forever...,0.621041,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1939-06-06,0,68.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Foundling,5.8,4,1939,0.0
,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",292656,ru,"The story takes place in a Soviet placed in what is now Ukraine. A mechanic arrives in the Soviet, lead by a young independent woman driving tractors and, between many comedy sketches and propaganda mottoes, a love comes to light.",0.366948,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1939-07-03,0,88.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Tractor Drivers,4.0,2,1939,0.0
,0,"[{'id': 18, 'name': 'Drama'}]",67687,ru,"Shura Olevantseva leads a happy life with her children and her loving husband Pavel. One day she hears the news that the woman, who once loved her husband, died and that Sveta, Pavel's daughter about whom he knew nothing, is now an orphan. It wasn't easy for Shura to welcome Sveta into her home. It was even more difficult to win her heart, and to give her back the joy of childhood and the belief that she's not alone.",0.000308,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1973-06-06,0,85.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Stepmother,7.0,1,1973,0.0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",67451,fr,"In a strange bank, a young clerk, in love with a typist, gets asleep after a minor incident. His dream sarries him into the retirement house of old fairies, that he will manage to help to grow younger. He then lands on the towers of Notre-Dame, and into the Musée GRévin, where a revolutionary court is in the process of judging the lovers, one of them soon being changed into a dog. But it was just a dream, and the journey ends up well...",0.158356,"[{'name': 'Georges Loureau', 'id': 42414}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1926-04-30,0,80.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Imaginary Voyage,6.5,4,1926,0.0
,0,"[{'id': 35, 'name': 'Comedy'}]",92132,ru,A funny story about Fyodor - the oldest person in the village - and his three sons.,0.262044,"[{'name': 'Belarusfilm', 'id': 12617}]","[{'iso_3166_1': 'BY', 'name': 'Belarus'}, {'iso_3166_1': 'RU', 'name': 'Russia'}]",1983-06-06,0,89.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,White Dew,6.4,7,1983,0.0
